t,iteration,max_v,mean_v,n_fast,a_marangoni,a_drag,a_pressure,a_flag,a_total,min_cs,max_cs,mean_cs,constrast_cs,min_c_n,max_c_n,mean_c_n,contrast_c_n,mass_total
0.0000,0,0.000043,0.000000,0,0.0000,0.0000,0.0007,0.0000,0.0007,0.0000,0.4383,0.0021,204.8990,0.9689,1.0000,0.9999,0.0311,3.649772e+01
1.6793,200,0.917996,0.001709,34,87.7193,73.1707,16.8345,2.4812,58.0452,0.0000,19.6566,0.1547,127.0749,0.6667,1.0000,0.9970,0.3343,3.684806e+01
2.9175,400,0.194951,0.000815,18,27.8531,12.0722,2.4466,2.1896,28.0356,0.0000,23.2358,0.1177,197.3667,0.4495,1.0000,0.9951,0.5532,3.713568e+01
4.6420,600,0.319010,0.000846,23,32.3206,20.2250,3.7049,2.2177,32.3200,0.0000,22.0610,0.0942,234.0797,0.2945,1.0000,0.9930,0.7105,3.756557e+01
6.2117,800,0.323041,0.000819,20,36.2934,24.8700,4.9829,2.5441,36.1189,0.0000,23.4274,0.0886,264.5299,0.2111,1.0000,0.9914,0.7957,3.798917e+01
7.7758,1000,0.846213,0.001083,36,58.2189,52.6169,10.3369,2.8034,16.6604,0.0000,25.0176,0.0779,321.1389,0.1417,1.0000,0.9900,0.8670,3.844381e+01
9.0957,1200,0.153491,0.000355,2,16.9046,10.5378,2.9099,2.9472,16.9309,0.0000,15.6938,0.0553,283.6317,0.0963,1.0000,0.9891,0.9136,3.885445e+01
9.8146,1400,0.066010,0.000269,0,13.8007,6.8068,2.9676,2.9886,13.7184,0.0000,16.8129,0.0481,349.6952,0.0772,1.0000,0.9887,0.9333,3.909131e+01
10.6823,1600,0.720750,0.000596,11,50.7287,44.9282,7.8965,2.9999,13.3413,0.0000,17.8567,0.0497,359.4571,0.0593,1.0000,0.9881,0.9520,3.938598e+01
11.1875,1800,0.043682,0.000264,0,10.4866,3.0328,2.9963,2.9990,10.4647,0.0000,13.0945,0.0448,292.2000,0.0506,1.0000,0.9878,0.9610,3.956462e+01
12.0948,2000,0.045561,0.000219,0,8.8501,3.1399,2.9506,2.9630,8.7874,0.0000,7.7170,0.0371,207.9624,0.0384,1.0000,0.9874,0.9739,3.989550e+01
13.0901,2200,0.162289,0.000239,1,18.9394,17.5795,2.8476,2.8689,16.4330,0.0000,4.6546,0.0333,139.8723,0.0293,1.0000,0.9868,0.9837,4.028184e+01
