rank,level,function,calls,time
0,0,acceleration_eval_0,40000,508.405809879303
0,0,Solver.post_step_callback,40000,45.786741971969604
0,0,nnps.update,40000,4.543673276901245
0,0,Solver.dump_output,401,2.8451154232025146
0,0,Integrator.stage1,40000,1.4151110649108887
0,0,Integrator.update_domain,40000,0.36096882820129395
0,0,Solver._get_timestep,40001,0.04836869239807129
0,0,Integrator.initial_acceleration,1,0.002777099609375
0,1,AccelerationEval.Group_0,40001,507.9614357948303
0,1,AccelerationEval.Group_2,40001,0.20371174812316895
0,1,AccelerationEval.Group_1,40001,0.12554693222045898
0,1,AccelerationEval.Group_3,40001,0.006298065185546875
0,2,AccelerationEval.Group_0_d_fluid_s_fluid.loop,40001,507.8895161151886
0,2,AccelerationEval.Group_2_d_fluid.initialize,40001,0.18187594413757324
0,2,AccelerationEval.Group_1_d_fluid.initialize,40001,0.1027519702911377
0,2,AccelerationEval.Group_0_d_fluid.initialize,40001,0.028560161590576172
